2026-08-20 21:00:00.076 INFO [RankThread][UniverseRankScript.java:402] - 检查天墟战场名人堂排名
2026-08-20 21:00:00.076 INFO [mainThread][DailyActiveScript.java:296] - 日常活动id=21【巅峰竞技】开始阶段
2026-08-20 21:40:51.442 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 15, количество: 245
2026-08-20 21:41:10.068 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29952
2026-08-20 21:41:40.117 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30049
2026-08-20 21:41:40.970 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 35, количество: 245
2026-08-20 21:41:53.662 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 34, количество: 245
2026-08-20 21:42:10.032 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29915
2026-08-20 21:42:40.056 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30023
2026-08-20 21:43:10.090 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30034
2026-08-20 21:43:40.061 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29972
2026-08-20 21:44:00.168 ERROR [copyMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 62, количество: 70
2026-08-20 21:44:01.544 ERROR [bi_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 99, количество: 2
2026-08-20 21:44:10.043 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29982
2026-08-20 21:44:40.033 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29990
2026-08-20 21:45:10.113 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=30080
2026-08-20 21:45:23.288 ERROR [worldMap_timer-Timer][TimerThread.java:78] - Затраченное время на таймерные события: 231, количество: 245
2026-08-20 21:45:23.508 ERROR [zone_1][ServerThread.java:87] - zone_1-->MonsterBehaviorTimer run:433
2026-08-20 21:45:40.102 INFO [nioEventLoopGroup-4-1][CrossServerScript.java:848] - 公共心跳原因码返回是:0, 用时=29989
